fold,population,householdsize,racepctblack,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,PctIlleg,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,RentLowQ,RentMedian,RentHighQ,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,ViolentCrimesPerPop
1,0.02,0.46,0.08,0.57,0.04,1,0.72,0.53,0.23,0.74,0.63,0.17,0.59,0.8,0.72,0.71,0.36,0.41,0.01,0.07,0.18,0.19,0.72,0.18,0.51,0.18,0.67,0.13,0.79,0.18,0.4,0.14,0.5,0.64,0.2,0.72,0.09,0.41,0.5,0.02,0.89,0.62,0.07,0.09,0.74,0.76,0.79,0.45,0.54,0.65,0.49,0.39,0.51,0.68,0.01,0.324820666,0.2,0.88,0.91,0.9,0.93,0.261943859,-0.187913049,0.265671229,0.522700445,0.377925623,1.007298588,1.090155912,-0.282365248,0.297963905,0.327164871,-0.348139522,0.191331759,0.167290544,0.19664072,0.63,1,-0.062749373,-0.203673649,0.673121311,-0.100303641,0.587325237,0.210413463,0.08
1,0.03,0.47,0.01,0.52,0.04,1,0.8,0.55,0.18,0.87,0.51,0.07,0.55,0.82,0.78,0.77,0.62,0.46,0.01,0.07,0.07,0.07,0.89,0.24,0.55,0.29,0.73,0.1,0.88,0.13,0.38,0.03,0.5,0.55,0.25,0.83,0.02,0.25,0.5,0.01,0.94,0.78,0.357660022,0.15,0.71,0.69,0.68,0.6,0.82,1,0.87,0.4,0.39,0.46,0.089708597,0.180745044,0.22,0.66,0.82,0.66,0.73,0.554522353,0.172491126,-0.252736673,0.356828447,0.230887025,0.683881453,0.93233707,0.240555281,-0.156793041,0.124070148,0.552413564,-0.062657095,0.500717216,0.003028965,0.18,0.59,-0.221689685,-0.016189224,0.967730112,0.114366522,0.798015243,0.419029386,0.06
1,0.01,0.44,-0.003293735,0.23,0.02,0.77,0.46,0.77,0.41,0.73,0.28,0.1,0.22,0.47,0.41,0.4,0.38,0.75,-0.052798337,0.07,0.2,0.22,0.42,0.13,0.76,0.67,0.24,0.42,0.47,0.37,0.39,0.08,0.45,0.63,0.19,0.65,0.04,0.45,0.5,0.01,0.92,0.55,0.05,0.07,0.19,0.18,0.18,0.35,0.32,0.32,0.29,0.16,0.35,0.26,0.01,-0.098076035,0.03,0.86,0.43,0.47,0.69,0.122450176,-0.151458172,0.3001512,0.319007998,0.433109525,0.417266253,0.677024164,0.257196656,-0.021974335,-0.271437791,0.371524465,0.029397326,0.555254834,0.054372552,0.04,0.363836792,-0.118378906,-0.138440613,1.228754033,0.816202171,1.244856998,0.291976008,0.09
1,0.04,0.36,0.01,0.31,0.05,1,0.71,0.67,0.42,0.55,0.25,0.14,0.36,0.7,0.79,0.82,0.29,0.38,0.02,0.18,0.11,0.14,0.58,0.19,0.68,0.28,0.35,0.15,0.61,0.6,0.5,0.1,0.39,0.37,0.45,0.47,0.21,0.54,0.5,0.1,0.43,0.5,0.282492615,0.07,0.88,0.93,0.97,0.96,0.91,1,0.87,0.55,0.81,0.21,0.244928155,0.11,0.4,0.42,0.31,0.51,0.53,0.159575948,0.189691058,-0.059595594,0.112745399,0.16631535,1.107485624,0.686824605,0.683674279,0.203848638,-0.106127386,-0.274636525,0.086636195,0.536130011,-0.075665714,0.4,0.15,0.485806801,0.205979784,0.978457078,0.669723652,0.895352497,0.194278494,0.21
1,0.03,0.34,0.06,0.58,-0.013262547,0.992226292,0.18,0.42,0.81,0.49,0.62,0.37,0.41,0.21,0.22,0.21,0.16,0.28,0.03,0.33,0.3,0.37,0.24,0.32,0.42,0.38,0.48,0.48,0.36,0.5,0.34,0.19,0.32,0.39,0.22,0.62,0.04,0.53,0.5,0.04,0.76,0.58,0.41,0.44,0.04,0.04,0.05,0.1,0.13,0.14,0.13,0.4,0.2,0.35,0.01,-0.052189877,0.03,0.85,0.6,0.74,0.78,-0.015697765,0.115611311,0.413235367,0.509597081,0.206971656,0.597156881,0.635689376,0.160403095,0.034953283,0.031339521,0.624458494,0.135899874,0.466164547,0.308168739,0.15,0.04,0.429091851,-0.063569865,0.496474857,0.507641714,0.377238362,-0.0661864,0.3
1,0.15,0.31,0.4,0.47,0.16,1,0.22,0.52,0.1,0.51,0.48,0.39,0.51,0.3,0.29,0.34,0.23,0.3,0.15,0.48,0.3,0.38,0.47,0.37,0.44,0.08,0.73,0.21,0.53,0.5,0.94,0.73,0.21,0.33,0.22,0.24,0.1,0.6,0.453014334,0.22,0.64,0.22,0.79,0.26,0.23,0.23,0.23,0.31,0.32,0.36,0.33,0.52,0.35,0.4,0.23,0.02,0.23,0.8,0.41,0.53,0.8,0.38,0.05,0.21,0.23,0.3,0.61,0.89,0.15,0.01,0.06,0.12,0.1,0.64,0.22,0.39,0.84,0.06,0.06,0.91,0.5,0.88,0.26,0.49
1,0.01,0.53,0.01,0.36,0.02,0.76,0.79,0.77,0.13,0.77,0.44,0.15,0.56,0.75,0.69,0.67,0.38,0.62,0.126701221,0.04,0.1,0.18,0.58,0.11,0.68,0.42,0.37,0.21,0.66,0.25,0.4,0.04,0.57,0.58,0.34,0.89,0.04,0.27,0.5,0.01,0.88,0.86,0.25,0.08,0.5,0.49,0.5,0.8,0.76,0.96,0.8,0.69,0.52,0.65,0.066496441,0.137574323,0.26,0.64,0.8,0.74,0.73,0.408433396,0.230420353,0.338558949,0.393797164,0.157861373,1.016721379,0.736387085,0.212490709,0.125339107,0.414666919,-0.168307582,0.100309492,0.401463859,0.602441908,0.09,0.21,0.287878335,0.128401535,0.959446688,0.791463316,1.114329431,-0.047233016,0.07
1,0.02,0.47,0.01,0.37,0.084791803,0.969349153,0.33,0.56,0.28,0.62,0.43,0.21,0.4,0.41,0.34,0.32,0.22,0.35,0.02,0.22,0.16,0.24,0.45,0.19,0.48,0.36,0.77,0.25,0.56,0.38,0.58,0.11,0.33,0.49,0.19,0.54,0.06,0.55,0.5,0.01,0.89,0.46,0.27,0.05,0.14,0.14,0.14,0.27,0.29,0.3,0.3,0.45,0.22,0.28,0.099350288,0.094294564,0.08,0.58,0.4,0.49,0.45,0.062560973,0.398893923,0.379844663,0.42243521,0.16292339,0.540556271,0.909885041,0.235825785,-0.010913854,0.066759556,0.416975566,0.037007043,0.649460367,0.287814225,0.2,0.07,0.181305731,-0.02750549,1.061924866,0.977208754,0.613264018,0.11997393,0.15
1,0.136248415,0.41,0.05,0.55,0.01,0.58,0.23,0.34,0.33,0.51,0.7,0.36,0.87,0.24,0.22,0.21,0.24,0.31,0.01,0.28,0.27,0.38,0.19,0.72,0.25,0.39,0.35,0.49,0.34,0.31,0.29,0.06,0.46,0.45,0.41,0.83,0.04,0.42,0.5,0.01,0.75,0.83,0.31,0.18,0.08,0.09,0.1,0.06,0.12,0.15,0.2,0.19,0.2,0.28,0.093338335,-0.145001056,0.02,0.98,0.91,0.78,0.93,0.034446811,0.328749684,0.049225713,0.006474763,0.319262281,1.234357737,0.307562795,0.418890606,-0.079986879,0.223423311,0.165565124,0.049672608,0.425316756,0.410519455,0.03,0.05,-0.068621394,0.288912172,0.939078209,0.393345488,1.14416511,0.115790912,0.03
1,0.25,0.54,0.05,0.32,0.26,1,0.33,0.55,0.37,0.37,0.39,0.64,0.44,0.32,0.29,0.32,0.23,0.3,0.19,0.34,0.34,0.43,0.24,0.59,0.43,0.38,0.41,0.43,0.36,0.6,0.35,0.22,0.56,0.54,0.6,0.47,0.39,0.48,0.5,0.15,0.83,0.49,0.09,0.28,0.31,0.31,0.31,0.4,0.4,0.45,0.4,0.65,0.59,0.21,0.12,0.09,0.38,0.58,0.31,0.48,0.73,0.12,0.05,0.11,0.35,0.08,0.8,0.82,0.04,0.19,0.19,0.18,0.05,0.57,0.36,0.46,0.05,0.09,0.05,0.88,0.5,0.76,0.13,0.34
1,1,0.42,0.47,0.33,1,0.99,0.28,0.62,0.16,0.36,0.4,0.3,0.45,0.29,0.3,0.35,0.21,0.4,0.76,0.33,0.25,0.39,0.28,0.3,0.59,0.18,0.33,0.35,0.38,0.69,0.41,0.35,0.42,0.46,0.4,0.55,0.2,0.49,0.5,1,0.6,0.54,0.52,0.23,0.11,0.11,0.13,0.25,0.28,0.32,0.3,0.45,0.41,0.32,0.39,0.36,0.1,0.44,0.45,0.6,0.48,0.19,0.35,0.19,0.38,0.16,0.82,0.7,0.45,0.03,0.05,0.33,0.13,0.57,1,0.07,0.15,1,0.35,0.73,0,0.31,0.21,0.69
1,0.01,0.34,0.02,0.47,0.032489208,1.171293947,0.13,0.4,0.26,0.42,0.52,0.41,0.41,0.17,0.2,0.2,0.13,0.19,0.03,0.58,0.31,0.42,0.24,0.63,0.32,0.45,0.44,0.56,0.34,0.72,0.49,0.2,0.32,0.37,0.32,0.38,0.18,0.71,0.589750044,0.03,0.68,0.38,0.33,0.29,0.06,0.06,0.08,0.14,0.17,0.18,0.16,0.54,0.38,0.42,0.05,0.168354348,0.12,0.41,0.37,0.51,0.45,0.145791336,0.264645115,0.326643934,0.413964447,0.076526205,0.576308474,0.675037324,0.032238878,0.181316788,0.633234941,-0.287801847,0.174115465,0.482143002,0.687139387,0.09,0.06,0.06039575,-0.124841762,0.622084688,0.678517645,0.414041488,0.104464135,0.21
1,0.11,0.43,0.04,0.46,0.13,1,0.22,0.52,0.44,0.49,0.56,0.41,0.39,0.25,0.25,0.25,0.16,0.22,0.1,0.36,0.29,0.37,0.27,0.33,0.53,0.43,0.47,0.44,0.33,0.48,0.39,0.26,0.43,0.48,0.35,0.64,0.12,0.56,0.377496672,0.09,0.8,0.61,0.45,0.25,0.05,0.04,0.05,0.14,0.17,0.18,0.17,0.44,0.2,0.43,0.05,0.01,0.09,0.72,0.58,0.72,0.64,0.14,0.03,0.14,0.37,0.11,0.84,0.96,0,0,0,0,0.02,0.86,0.29,0.12,0.07,0.04,0.01,0.81,1,0.56,0.09,0.63
1,0.02,0.96,0.05,0.33,-0.169509036,0.980638311,0.16,0.61,0.41,0.14,0.49,0.92,0.28,0.12,0.08,0.2,0.14,0.21,0.05,0.63,1,1,0.1,1,0.22,0.09,0.26,0.32,0.16,0.28,0.49,0.43,1,1,1,0.39,1,0.63,0.489408357,0.01,0.87,0.42,0.15,1,0.14,0.12,0.1,0.18,0.22,0.23,0.22,0.5,0.55,0.21,0.0853836,0.583141711,1,0.43,0.54,0.7,0.74,0.027547524,0.063832438,-0.061820752,0.313591825,0.181091901,0.463401135,0.71844105,0.05619715,0.144419227,0.458734609,0.852702106,0.048409571,0.86350306,0.140385438,0.22,0.02,0.074957492,0.089441385,0.429340189,1.051265862,1.019960367,0.119751965,0.31
1,-0.137254125,0.33,0.02,0.31,0.02,1,0.29,0.64,0.6,0.57,0.3,0.15,0.41,0.32,0.34,0.34,0.27,0.35,0.01,0.3,0.11,0.18,0.54,0.3,0.56,0.33,0.53,0.31,0.58,0.6,0.73,0.07,0.24,0.3,0.23,0.49,0.09,0.61,0.549061588,0.02,0.7,0.47,0.1,0.18,0.22,0.2,0.21,0.32,0.31,0.33,0.28,0.55,0.59,0.39,0.425480568,-0.041666977,0.15,0.34,0.31,0.36,0.44,0.299838704,-0.006884535,0.231367613,0.341781322,0.260527962,0.680833083,0.989694727,0.175938284,-0.060554943,0.006318788,0.334549674,-0.186425577,1.18086116,0.154512295,0.15,0.16,0.358712976,0.256778871,0.668167472,0.350529019,0.394002942,0.268291336,0.12
1,0.06,0.49,0.46,0.34,0.08,1,0.35,0.68,0.16,0.36,0.36,0.38,0.34,0.34,0.32,0.32,0.38,0.33,0.04,0.25,0.35,0.46,0.25,0.35,0.57,0.62,0.23,0.42,0.32,0.55,0.59,0.49,0.51,0.48,0.56,0.3,0.81,0.79,0.543823489,0.05,0.83,0.33,0.08,0.34,0.54,0.52,0.5,0.6,0.57,0.63,0.56,0.62,0.48,0.11,0.110833007,0.140353621,0.87,0.39,0.57,0.82,0.72,0.17507515,0.165012122,-0.121245189,0.378961396,0.111935875,0.514968109,0.507297686,0.354745271,0.267956068,0.285190977,0.496586511,0.239725058,0.418798869,0.56667887,0.79,0.21,0.267058425,-0.221586587,0.630411438,-0.18232502,1.037666043,0.186114389,0.84
1,0.01,0.37,0.01,0.59,0.13188425,0.996096485,0.23,0.38,0.39,0.51,0.64,0.35,0.63,0.24,0.23,0.22,0.23,0.51,0.02,0.32,0.3,0.45,0.16,0.34,0.37,0.78,0.35,0.71,0.25,0.51,0.25,0.06,0.38,0.41,0.32,0.66,0.03,0.4,0.5,0.02,0.82,0.64,0.3,0.32,0.07,0.06,0.07,0.13,0.14,0.13,0.17,0.42,0.27,0.26,0.437810374,-0.087505258,0.04,0.82,0.63,0.82,0.82,0.245692729,0.113398891,-0.082644705,-0.0937429,0.326601991,0.33524606,0.398786039,0.160072867,0.070579058,0.010515109,0.556839991,0.107008676,0.879582566,0.401046057,0.09,0.601003044,0.119763422,-0.064533627,0.619613591,0.973182875,0.903376764,0.206042558,0.1
1,0.01,0.27,0.43,0.74,0.064291163,1.164245518,0.12,0.1,0.11,0.39,0.84,0.48,0.82,0.21,0.25,0.27,0.16,0.86,0.03,0.57,0.46,0.49,0.3,0.54,0.13,0.05,0.77,0.18,0.57,0.61,0.33,0.29,0.26,0.26,0.3,0.53,0.07,0.53,0.5,0.06,0.5,0.54,0.3,0.22,0.07,0.07,0.09,0.1,0.14,0.16,0.15,0.62,0.36,0.26,0.01,0.205579318,0.05,0.82,0.68,0.79,0.78,0.23413723,0.026485904,0.153910316,0.415359239,0.133420408,0.79063747,0.356392018,0.366058619,0.053403098,0.174335315,0.472839411,0.137264496,0.304388721,0.295995825,0.17,0.119939095,0.399395611,0.149636288,0.719743322,0.186112281,0.378983634,0.256882517,0.49
1,-0.004921163,0.5,0.01,0.25,0.031943212,0.983564295,0.6,0.83,0.25,0.63,0.26,0.12,0.31,0.58,0.48,0.46,0.41,0.41,0.301518609,0.01,0.18,0.27,0.44,0.22,0.81,0.52,0.47,0.27,0.57,0.41,0.35,0.04,0.51,0.55,0.29,0.81,0.04,0.38,0.5,0.02,0.57,0.77,0.04,0.23,0.43,0.42,0.39,0.43,0.49,0.6,0.54,0.28,0.63,0.35,0.2324992,0.127784361,0.07,0.71,0.68,0.64,0.78,0.05409437,-0.133028779,0.249856035,0.336423419,0.140639421,0.868589502,0.651017379,-0.107489643,0.363046566,-0.088267837,0.684282285,0.188797285,0.436869358,0.642238154,0.02,0.08,-0.039843372,0.342904154,1.00628833,0.350209799,0.586141608,0.01563803,0.02
1,0.01,0.3,0.027663385,0.74,0.19053714,1.213922987,0.16,0.24,0.24,0.41,0.73,0.53,0.49,0.21,0.25,0.24,0.373327674,0.04,0.02,0.45,0.62,0.61,0.26,0.24,0.27,0.45,0.37,0.5,0.42,0.54,0.22,0.05,0.27,0.33,0.23,0.53,0.05,0.46,0.5,0.01,0.8,0.5,0.1,0.07,0.1,0.1,0.11,0.06,0.09,0.11,0.12,0.58,0.25,0.28,0.203301241,0.39223182,0.610440479,0.82,0.54,0.72,0.76,0.418778323,0.097671699,0.375904726,0.548549595,0.211498902,0.695724985,0.836958395,0.59218008,0.307426831,0.309863282,0.454612472,0.1591562,0.787990463,0.253750387,0.07,0.01,0.495981666,-0.153968717,0.725070202,0.168134806,0.751309088,0.197744178,0.16
1,0.29,0.34,0.14,0.42,0.31,1,0.25,0.57,0.32,0.47,0.49,0.34,0.47,0.28,0.29,0.3,0.22,0.31,0.22,0.33,0.19,0.31,0.29,0.28,0.6,0.28,0.4,0.39,0.34,0.63,0.44,0.29,0.33,0.4,0.25,0.58,0.12,0.63,0.469503756,0.26,0.78,0.54,0.84,0.25,0.08,0.07,0.07,0.25,0.27,0.28,0.27,0.53,0.39,0.49,0.18,0.04,0.09,0.78,0.53,0.72,0.74,0.373838442,0.148524392,-0.016037216,0.55784412,0.27349341,1.299288873,0.544574547,0.453697019,0.212067724,0.163166118,0.393392344,-0.007218416,0.5461954,0.258167004,0.21,0.2,0.307692745,-0.067779355,0.586959009,0.628999328,0.652429087,0.22596686,0.19
1,0.04,0.37,0.32,0.14,0.05,1,0.02,0.77,0.57,0.47,0.13,0.11,0.16,0.32,0.17,0.19,0.16,0.22,0.11,1,0.18,0.18,0.82,0.42,0.23,0.19,1,0.25,0.67,0.09,1,0.69,0.25,0.41,0.22,0.24,0.14,0.71,0.570476487,0.06,0.66,0.21,0.07,0.1,0.16,0.16,0.18,0.18,0.21,0.26,0.21,1,0.16,0.24,0.016659146,0.349039099,0.12,0.49,0.12,0.630828376,0.15,0.088152682,-0.09592762,0.051538395,0.197854339,0.244687419,0.664738498,0.692386926,-0.241606322,-0.085499133,0.167899085,0.17980244,0.126345215,0.369550642,0.072429459,0.09,0.01,0.222940054,0.066712063,0.720758746,0.220530904,0.280083182,0.065044889,0.15
